"Add to Wish List", "Adicione à lista de desejos"
"Add to Compare", "Adicione para comparação"
"Your Checkout Progress", "Progresso do Pagamento"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 items"
"Regular Price", "was"
"Remove item", "Remova item"
"View Order", "Veja a encomenda"
"Update Shopping Cart", "Atualizar Carrinho"
"Move to Wish List","Mova para a lista de desejos"
"Copy to Wish List","Copie para a lista de desejos"
"Move Selected to Wish List", "Mova os itens para a lista"
"Copy Selected to Wish List", "Copie os itens para a lista"
"%1 items in wish list", "%1 item"
"1 item in wish list", "1 item"
"Continue to Shipping Information", "Select Shipping Method"
